site_code,stn_id,latitude,longitude,well_use
327127N1168015W001,18352,32.7127,-116.8015,Unknown
327127N1168173W001,17811,32.7127,-116.8173,Unknown
327135N1163612W001,18489,32.7135,-116.3612,Unknown
327135N1163618W001,18490,32.7135,-116.3618,Unknown
327135N1168037W001,36218,32.7135,-116.8037,Unknown
327139N1149430W001,16070,32.7139,-114.943,Unknown
327140N1168020W001,18483,32.714,-116.802,Unknown
327140N1168204W001,34818,32.714,-116.8204,Unknown
327140N1168223W001,17816,32.714,-116.8223,Unknown
327143N1158744W001,21588,32.7143,-115.8744,Unknown
327143N1168206W001,17815,32.7143,-116.8206,Unknown
327144N1149343W001,33599,32.7144,-114.9343,Unknown
327144N1149343W002,16198,32.7144,-114.9343,Unknown
327146N1168023W001,36217,32.7146,-116.8023,Unknown
327146N1168156W001,34816,32.7146,-116.8156,Unknown
327149N1168143W001,17812,32.7149,-116.8143,Unknown
327157N1168026W001,18484,32.7157,-116.8026,Unknown
327161N1149553W001,33315,32.7161,-114.9553,Unknown
327163N1168029W001,34517,32.7163,-116.8029,Unknown
327165N1168031W001,34518,32.7165,-116.8031,Unknown
327168N1168179W001,17814,32.7168,-116.8179,Unknown
327171N1168012W001,17781,32.7171,-116.8012,Unknown
327175N1147745W001,39150,32.7175,-114.7745,Unknown
327175N1147746W001,35666,32.7175,-114.7746,Unknown
327176N1148024W001,18250,32.7176,-114.8024,Unknown
327177N1147739W001,18252,32.7177,-114.7739,Unknown
327177N1148027W001,18251,32.7177,-114.8027,Unknown
327177N1148029W001,35665,32.7177,-114.8029,Unknown
327177N1168009W001,17649,32.7177,-116.8009,Unknown
327177N1168143W001,17807,32.7177,-116.8143,Unknown
327179N1168079W001,34813,32.7179,-116.8079,Unknown
327182N1168054W001,34814,32.7182,-116.8054,Unknown
327185N1168020W001,17782,32.7185,-116.802,Unknown
327188N1168029W001,39140,32.7188,-116.8029,Unknown
327190N1168054W001,17809,32.719,-116.8054,Unknown
327190N1168056W001,17808,32.719,-116.8056,Unknown
327196N1168040W001,17647,32.7196,-116.804,Unknown
327200N1147425W001,18254,32.72,-114.7425,Unknown
327200N1147425W002,35668,32.72,-114.7425,Unknown
327204N1168037W001,34516,32.7204,-116.8037,Unknown
327204N1168056W001,17804,32.7204,-116.8056,Unknown
327210N1164662W001,36219,32.721,-116.4662,Unknown
327210N1168040W001,34408,32.721,-116.804,Unknown
327210N1168051W001,17805,32.721,-116.8051,Unknown
327210N1168140W001,34811,32.721,-116.814,Unknown
327219N1171421W001,24938,32.7219,-117.1421,Unknown
327219N1171421W002,38193,32.7219,-117.1421,Unknown
327219N1171421W003,24939,32.7219,-117.1421,Unknown
327219N1171421W004,38194,32.7219,-117.1421,Unknown
327219N1171421W005,24940,32.7219,-117.1421,Unknown
327221N1163243W001,18488,32.7221,-116.3243,Unknown
327221N1168137W001,17806,32.7221,-116.8137,Unknown
327224N1168295W001,34812,32.7224,-116.8295,Unknown
327227N1168104W001,17800,32.7227,-116.8104,Unknown
